Cycle:           4, Write Miss, Address: 00000000, Write Data: 00000000
Cycle:          19, Write Hit , Address: 00000004, Write Data: 00000111
Cycle:          21, Write Hit , Address: 00000008, Write Data: 00000222
Cycle:          23, Write Hit , Address: 0000000c, Write Data: 00000333
Cycle:          25, Write Hit , Address: 00000010, Write Data: 00000444
Cycle:          27, Write Hit , Address: 00000014, Write Data: 00000555
Cycle:          29, Write Hit , Address: 00000018, Write Data: 00000666
Cycle:          31, Write Hit , Address: 0000001c, Write Data: 00000777
Cycle:          33, Write Miss, Address: 00000020, Write Data: 00000788
Cycle:          48, Write Hit , Address: 00000024, Write Data: 00000799
Cycle:          50, Write Hit , Address: 00000028, Write Data: 000007aa
Cycle:          52, Write Hit , Address: 0000002c, Write Data: 000007bb
Cycle:          54, Write Hit , Address: 00000030, Write Data: 000007cc
Cycle:          56, Write Hit , Address: 00000034, Write Data: 000007dd
Cycle:          58, Write Hit , Address: 00000038, Write Data: 000007ee
Cycle:          60, Write Hit , Address: 0000003c, Write Data: 000007ff
Cycle:          62, Write Miss, Address: 00000400, Write Data: 00000123 (Write Back!)
Cycle:          77, Write Hit , Address: 00000404, Write Data: 00000234
Cycle:          79, Write Hit , Address: 00000408, Write Data: 00000345
Cycle:          81, Write Hit , Address: 0000040c, Write Data: 00000456
Cycle:          83, Write Hit , Address: 00000410, Write Data: 00000567
Cycle:          85, Write Hit , Address: 00000414, Write Data: 00000678
Cycle:          87, Write Hit , Address: 00000418, Write Data: 00000789
Cycle:          89, Write Hit , Address: 0000041c, Write Data: 00000790
