Cycle:           4, Write Miss, Address: 00000000, Write Data: 00000000
Cycle:          17, Write Hit , Address: 00000004, Write Data: 00000111
Cycle:          19, Write Hit , Address: 00000008, Write Data: 00000222
Cycle:          21, Write Hit , Address: 0000000c, Write Data: 00000333
Cycle:          23, Write Hit , Address: 00000010, Write Data: 00000444
Cycle:          25, Write Hit , Address: 00000014, Write Data: 00000555
Cycle:          27, Write Hit , Address: 00000018, Write Data: 00000666
Cycle:          29, Write Hit , Address: 0000001c, Write Data: 00000777
Cycle:          31, Write Miss, Address: 00000020, Write Data: 00000788
Cycle:          45, Write Hit , Address: 00000024, Write Data: 00000799
Cycle:          47, Write Hit , Address: 00000028, Write Data: 000007aa
Cycle:          49, Write Hit , Address: 0000002c, Write Data: 000007bb
Cycle:          51, Write Hit , Address: 00000030, Write Data: 000007cc
Cycle:          53, Write Hit , Address: 00000034, Write Data: 000007dd
Cycle:          55, Write Hit , Address: 00000038, Write Data: 000007ee
Cycle:          57, Write Hit , Address: 0000003c, Write Data: 000007ff
Cycle:          59, Write Miss, Address: 00000400, Write Data: 00000123 (Write Back!)
Cycle:          83, Write Hit , Address: 00000404, Write Data: 00000234
Cycle:          85, Write Hit , Address: 00000408, Write Data: 00000345
Cycle:          87, Write Hit , Address: 0000040c, Write Data: 00000456
Cycle:          89, Write Hit , Address: 00000410, Write Data: 00000567
Cycle:          91, Write Hit , Address: 00000414, Write Data: 00000678
Cycle:          93, Write Hit , Address: 00000418, Write Data: 00000789
Cycle:          95, Write Hit , Address: 0000041c, Write Data: 00000790
Cycle:          96, Read Miss , Address: 00000000, Read Data : 00000000 (Write Back!)
Cycle:         118, Read Hit  , Address: 00000004, Read Data : 00000111
Cycle:         119, Read Hit  , Address: 00000008, Read Data : 00000222
Cycle:         120, Read Hit  , Address: 0000000c, Read Data : 00000333
Cycle:         121, Read Hit  , Address: 00000010, Read Data : 00000444
Cycle:         122, Read Hit  , Address: 00000014, Read Data : 00000555
Cycle:         123, Read Hit  , Address: 00000018, Read Data : 00000666
Cycle:         124, Read Hit  , Address: 0000001c, Read Data : 00000777
Cycle:         125, Read Hit  , Address: 00000020, Read Data : 00000788
Cycle:         126, Read Hit  , Address: 00000024, Read Data : 00000799
Cycle:         127, Read Hit  , Address: 00000028, Read Data : 000007aa
Cycle:         128, Read Hit  , Address: 0000002c, Read Data : 000007bb
Cycle:         129, Read Hit  , Address: 00000030, Read Data : 000007cc
Cycle:         130, Read Hit  , Address: 00000034, Read Data : 000007dd
Cycle:         131, Read Hit  , Address: 00000038, Read Data : 000007ee
Cycle:         132, Read Hit  , Address: 0000003c, Read Data : 000007ff
